Service Operation,baseCRBQName,Service Domain,Role Definition
GrCR Grant authorization for actions that impact the plan (e.g. qualify eligibility for a campaign),CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Grant authorization for actions that impact the plan (e.g. qualify eligibility for a campaign) service operation
ReCR Retrieve details about a relationship plan,CustomerRelationshipManagementPlan,Customer Relationship Management,Role for Retrieve details about a relationship plan service operation
CrBQ Create customer development capability  (initialize the capability),Development,Customer Relationship Management,Role for Create customer development capability (initialize the capability) service operation
UpBQ Update details about a relationship development task,Development,Customer Relationship Management,Role for Update details about a relationship development task service operation
"EcBQ Accept, reject, verify a development activity",Development,Customer Relationship Management,"Role for Accept, reject, verify a development activity service operation"
RqBQ Request a relationship development task,Development,Customer Relationship Management,Role for Request a relationship development task service operation
ReBQ Retrieve details about relationship development activity,Development,Customer Relationship Management,Role for Retrieve details about relationship development activity service operation
CrBQ Create customer incident reporting capability (initialize the capability),Incident,Customer Relationship Management,Role for Create customer incident reporting capability (initialize the capability) service operation
UpBQ Update details about a customer incident,Incident,Customer Relationship Management,Role for Update details about a customer incident service operation
CoBQ Control the processing of a customer incident (e.g. raise priority),Incident,Customer Relationship Management,Role for Control the processing of a customer incident (e.g. raise priority) service operation
"EcBQ Accept, reject, confirm details about a customer incident",Incident,Customer Relationship Management,"Role for Accept, reject, confirm details about a customer incident service operation"
CaBQ Capture details of a new customer incident,Incident,Customer Relationship Management,Role for Capture details of a new customer incident service operation
ReBQ Retrieve details about a customer incident,Incident,Customer Relationship Management,Role for Retrieve details about a customer incident service operation
CrBQ Create contact handling capability (initialize and track),Contact,Customer Relationship Management,Role for Create contact handling capability (initialize and track) service operation
UpCR Update details of a customer contact,Contact,Customer Relationship Management,Role for Update details of a customer contact service operation
RqBQ Request a customer contact,Contact,Customer Relationship Management,Role for Request a customer contact service operation
ReBQ Retrieve details about customer contacts,Contact,Customer Relationship Management,Role for Retrieve details about customer contacts service operation
UpCR Update aspects of the bank's asset and liability policies,AssetAndLiabilityPortfolioStrategy,Asset And Liability Management,Role for Update aspects of the bank's asset and liability policies service operation
RqCR Request manual intervention in the policies,AssetAndLiabilityPortfolioStrategy,Asset And Liability Management,Role for Request manual intervention in the policies service operation
ReCR Retrieve details about the bank's asset and liability policies,AssetAndLiabilityPortfolioStrategy,Asset And Liability Management,Role for Retrieve details about the bank's asset and liability policies service operation
CrBQ Create a proposed transaction submission under the policy,TransactionAlignment,Asset And Liability Management,Role for Create a proposed transaction submission under the policy service operation
RqBQ Request manual intervention during an assessment,TransactionAlignment,Asset And Liability Management,Role for Request manual intervention during an assessment service operation
ReBQ Retrieve details about a transaction alignment assessment,TransactionAlignment,Asset And Liability Management,Role for Retrieve details about a transaction alignment assessment service operation
EvCR Evaluate an underwriting decision,UnderwritingAssessment,Underwriting,Role for Evaluate an underwriting decision service operation
UpCR Update details for an underwriting assessment,UnderwritingAssessment,Underwriting,Role for Update details for an underwriting assessment service operation
ReCR Retrieve details about an underwriting assessment,UnderwritingAssessment,Underwriting,Role for Retrieve details about an underwriting assessment service operation
CoCR Control the processing of Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Control the processing of Cheque Processing Operating Session service operation
"EcCR Accept, verify, etc. aspects of Cheque Processing Operating Session processing",ChequeProcessingOperatingSession,Cheque Processing,"Role for Accept, verify, etc. aspects of Cheque Processing Operating Session processing service operation"
ExCR Execute an available automated action for Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Execute an available automated action for Cheque Processing Operating Session service operation
InCR Instantiate a new Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Instantiate a new Cheque Processing Operating Session service operation
ReCR Retrieve details about any aspect of Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Retrieve details about any aspect of Cheque Processing Operating Session service operation
RqCR Request manual intervention or a decision with respect to Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Request manual intervention or a decision with respect to Cheque Processing Operating Session service operation
UpCR Update details relating to Cheque Processing Operating Session,ChequeProcessingOperatingSession,Cheque Processing,Role for Update details relating to Cheque Processing Operating Session service operation
"EcBQ Accept, verify, etc. aspects of Financial Transaction Initiation processing",FinancialTransactionInitiation,Cheque Processing,"Role for Accept, verify, etc. aspects of Financial Transaction Initiation processing service operation"
Retrieve details about Cancelled Cheque Handling,ChequeExceptionHandling,Cheque Processing,Role for Retrieve details about Cancelled Cheque Handling service operation
ReBQ Retrieve details about any aspect of Cheque Extraction,ChequeExtraction,Cheque Processing,Role for Retrieve details about any aspect of Cheque Extraction service operation
ReBQ Retrieve details about any aspect of Financial Transaction Initiation,FinancialTransactionInitiation,Cheque Processing,Role for Retrieve details about any aspect of Financial Transaction Initiation service operation
Update details of Cancelled Cheque Handling,ChequeExceptionHandling,Cheque Processing,Role for Update details of Cancelled Cheque Handling service operation
Control Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Control Customer Proposition Agreement service operation
Evaluate Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Evaluate Customer Proposition Agreement service operation
Exchange Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Exchange Customer Proposition Agreement service operation
