Service Operation,baseCRBQName,Service Domain,Role Definition
Retrieve Fund Tax Administration Routine,FundTaxAdministration,Hedge Fund Administration,Role for Retrieve Fund Tax Administration Routine service operation
Update Fund Accounting Routine,FundAccounting,Hedge Fund Administration,Role for Update Fund Accounting Routine service operation
Update Fund Development Routine,FundDevelopment,Hedge Fund Administration,Role for Update Fund Development Routine service operation
Update Fund Enrolment Certification Routine,FundEnrolmentCertification,Hedge Fund Administration,Role for Update Fund Enrolment Certification Routine service operation
Update Fund Financial Reporting Routine,FundFinancialReporting,Hedge Fund Administration,Role for Update Fund Financial Reporting Routine service operation
Update Fund Inflows and Outflow Routine,FundInflowsandOutflow,Hedge Fund Administration,Role for Update Fund Inflows and Outflow Routine service operation
"Update Fund Investor, Middle and Back Office Service Routine",FundInvestor_MiddleandBackOfficeService,Hedge Fund Administration,"Role for Update Fund Investor, Middle and Back Office Service Routine service operation"
Update Fund Management Routine,FundManagement,Hedge Fund Administration,Role for Update Fund Management Routine service operation
Update Fund Performance Fee Routine,FundPerformanceFee,Hedge Fund Administration,Role for Update Fund Performance Fee Routine service operation
Update Fund Tax Administration Routine,FundTaxAdministration,Hedge Fund Administration,Role for Update Fund Tax Administration Routine service operation
InCR Initiate customer tax handling,CustomerTaxObligationFacility,Customer Tax Handling,Role for Initiate customer tax handling service operation
UpCR Update details of the customer tax handling facility,CustomerTaxObligationFacility,Customer Tax Handling,Role for Update details of the customer tax handling facility service operation
ReCR Retrieve details relating to the customer tax handling,CustomerTaxObligationFacility,Customer Tax Handling,Role for Retrieve details relating to the customer tax handling service operation
UpCR Update consolidated product reports,Consolidation,Customer Tax Handling,Role for Update consolidated product reports service operation
ReCR Retrieve details about the consolidated reports used for tax reporting,Consolidation,Customer Tax Handling,Role for Retrieve details about the consolidated reports used for tax reporting service operation
UpBQ Update aspects of the tax handling analysis,Analysis,Customer Tax Handling,Role for Update aspects of the tax handling analysis service operation
ReBQ Retrieve details about the tax reporting analysis,Analysis,Customer Tax Handling,Role for Retrieve details about the tax reporting analysis service operation
UpBQ Update customer tax reporting details,Reporting,Customer Tax Handling,Role for Update customer tax reporting details service operation
ReBQ Retrieve details about the customer tax reporting,Reporting,Customer Tax Handling,Role for Retrieve details about the customer tax reporting service operation
CoCR Control the processing of Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Control the processing of Intellectual Property Exchange Operating Session service operation
"EcCR Accept, verify, etc. aspects of Intellectual Property Exchange Operating Session processing",IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,"Role for Accept, verify, etc. aspects of Intellectual Property Exchange Operating Session processing service operation"
ExCR Execute an available automated action for Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Execute an available automated action for Intellectual Property Exchange Operating Session service operation
InCR Instantiate a new Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Instantiate a new Intellectual Property Exchange Operating Session service operation
ReCR Retrieve details about any aspect of Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Retrieve details about any aspect of Intellectual Property Exchange Operating Session service operation
RqCR Request manual intervention or a decision with respect to Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Request manual intervention or a decision with respect to Intellectual Property Exchange Operating Session service operation
UpCR Update details relating to Intellectual Property Exchange Operating Session,IntellectualPropertyExchangeOperatingSession,Knowledge Exchange,Role for Update details relating to Intellectual Property Exchange Operating Session service operation
"EcBQ Accept, verify, etc. aspects of Capture and Classification processing",CaptureandClassification,Knowledge Exchange,"Role for Accept, verify, etc. aspects of Capture and Classification processing service operation"
"EcBQ Accept, verify, etc. aspects of Indexing and Publication processing",IndexingandPublication,Knowledge Exchange,"Role for Accept, verify, etc. aspects of Indexing and Publication processing service operation"
"EcBQ Accept, verify, etc. aspects of Review, Refinement and Editing processing",Review_RefinementandEditing,Knowledge Exchange,"Role for Accept, verify, etc. aspects of Review, Refinement and Editing processing service operation"
ExBQ Execute an available automated action for Capture and Classification,CaptureandClassification,Knowledge Exchange,Role for Execute an available automated action for Capture and Classification service operation
InBQ Instantiate a new Capture and Classification,CaptureandClassification,Knowledge Exchange,Role for Instantiate a new Capture and Classification service operation
ReBQ Retrieve details about any aspect of Archiving,Archiving,Knowledge Exchange,Role for Retrieve details about any aspect of Archiving service operation
ReBQ Retrieve details about any aspect of Capture and Classification,CaptureandClassification,Knowledge Exchange,Role for Retrieve details about any aspect of Capture and Classification service operation
ReBQ Retrieve details about any aspect of Indexing and Publication,IndexingandPublication,Knowledge Exchange,Role for Retrieve details about any aspect of Indexing and Publication service operation
ReBQ Retrieve details about any aspect of Maintenance and Access Administration,MaintenanceandAccessAdministration,Knowledge Exchange,Role for Retrieve details about any aspect of Maintenance and Access Administration service operation
"ReBQ Retrieve details about any aspect of Review, Refinement and Editing",Review_RefinementandEditing,Knowledge Exchange,"Role for Retrieve details about any aspect of Review, Refinement and Editing service operation"
RqBQ Request manual intervention or a decision with respect to Capture and Classification,CaptureandClassification,Knowledge Exchange,Role for Request manual intervention or a decision with respect to Capture and Classification service operation
RqBQ Request manual intervention or a decision with respect to Maintenance and Access Administration,MaintenanceandAccessAdministration,Knowledge Exchange,Role for Request manual intervention or a decision with respect to Maintenance and Access Administration service operation
UpBQ Update details relating to Capture and Classification,CaptureandClassification,Knowledge Exchange,Role for Update details relating to Capture and Classification service operation
UpBQ Update details relating to Indexing and Publication,IndexingandPublication,Knowledge Exchange,Role for Update details relating to Indexing and Publication service operation
UpBQ Update details relating to Maintenance and Access Administration,MaintenanceandAccessAdministration,Knowledge Exchange,Role for Update details relating to Maintenance and Access Administration service operation
"UpBQ Update details relating to Review, Refinement and Editing",Review_RefinementandEditing,Knowledge Exchange,"Role for Update details relating to Review, Refinement and Editing service operation"
InCR Initiate a consumer loan,ConsumerLoanFacility,Consumer Loan,Role for Initiate a consumer loan service operation
UpCR Update details for an existing consumer loan,ConsumerLoanFacility,Consumer Loan,Role for Update details for an existing consumer loan service operation
"CoCR Control a consumer loan (e.g. suspend, terminate)",ConsumerLoanFacility,Consumer Loan,"Role for Control a consumer loan (e.g. suspend, terminate) service operation"
ReCR Retrieve details about a consumer loan,ConsumerLoanFacility,Consumer Loan,Role for Retrieve details about a consumer loan service operation
ReBQ Retrieve details about interest applied to a consumer loan,Interest,Consumer Loan,Role for Retrieve details about interest applied to a consumer loan service operation
ExBQ Execute Apply Service Fee,ServiceFees,Consumer Loan,Role for Execute Apply Service Fee service operation
ReBQ Retrieve details about a consumer loan fees,ServiceFees,Consumer Loan,Role for Retrieve details about a consumer loan fees service operation
ReBQ Retrieve details about a disbursement paid against a consumer loan,Disbursement,Consumer Loan,Role for Retrieve details about a disbursement paid against a consumer loan service operation
RqBQ Request a maintenance activity for a consumer load (e.g. obtain a fee statement),Maintenance,Consumer Loan,Role for Request a maintenance activity for a consumer load (e.g. obtain a fee statement) service operation
ReBQ Retrieve details about maintenance processing for a consumer loan,Maintenance,Consumer Loan,Role for Retrieve details about maintenance processing for a consumer loan service operation
UpBQ Update details of a withdrawal from a consumer loan,Withdrawal,Consumer Loan,Role for Update details of a withdrawal from a consumer loan service operation
ExBQ Execute an automated withdrawal against a consumer loan,Withdrawal,Consumer Loan,Role for Execute an automated withdrawal against a consumer loan service operation
RqBQ Request handling of a withdrawal (e.g. negotiate an exception),Withdrawal,Consumer Loan,Role for Request handling of a withdrawal (e.g. negotiate an exception) service operation
ReBQ Retrieve details about a consumer loan withdrawal,Withdrawal,Consumer Loan,Role for Retrieve details about a consumer loan withdrawal service operation
UpBQ Update a repayment transaction made to the consumer loan,Repayment,Consumer Loan,Role for Update a repayment transaction made to the consumer loan service operation
ExBQ Execute an automated repayment transaction,Repayment,Consumer Loan,Role for Execute an automated repayment transaction service operation
RqBQ Request handling of an exceptional repayment,Repayment,Consumer Loan,Role for Request handling of an exceptional repayment service operation
ReBQ Retrieve details about a consumer loan repayment,Repayment,Consumer Loan,Role for Retrieve details about a consumer loan repayment service operation
InBQ Initiate consumer loan account restructuring,Restructuring,Consumer Loan,Role for Initiate consumer loan account restructuring service operation
UpBQ Update details of a consumer loan or restructuring activities,Restructuring,Consumer Loan,Role for Update details of a consumer loan or restructuring activities service operation
"EcBQ Accept, reject etc a consumer loan restructuring proposal",Restructuring,Consumer Loan,"Role for Accept, reject etc a consumer loan restructuring proposal service operation"
RqBQ Request activity associated with a restructuring effort (e.g. negotiate),Restructuring,Consumer Loan,Role for Request activity associated with a restructuring effort (e.g. negotiate) service operation
ReBQ Retrieve details about a consumer loan restructuring task,Restructuring,Consumer Loan,Role for Retrieve details about a consumer loan restructuring task service operation
Update details about an applied service fee,ServiceFees,Consumer Loan,Role for Update details about an applied service fee service operation
Initiate an amount block,AmountBlock,Consumer Loan,Role for Initiate an amount block service operation
Retrieve details about an amount block,AmountBlock,Consumer Loan,Role for Retrieve details about an amount block service operation
Update details of an amount block,AmountBlock,Consumer Loan,Role for Update details of an amount block service operation
Execute Authorization of Booking,BookingAuthorization,Consumer Loan,Role for Execute Authorization of Booking service operation
Initiate Provision of Issued Device,IssuedDevice,Consumer Loan,Role for Initiate Provision of Issued Device service operation
Retrieve Details about Issued Device,IssuedDevice,Consumer Loan,Role for Retrieve Details about Issued Device service operation
Update Details of Issued Device Allocated to This Account,IssuedDevice,Consumer Loan,Role for Update Details of Issued Device Allocated to This Account service operation
CrCR Create the management plan for customer case handling,CustomerCaseManagementPlan,Customer Case Management,Role for Create the management plan for customer case handling service operation
UpCR Update aspects of the customer case handling management plan,CustomerCaseManagementPlan,Customer Case Management,Role for Update aspects of the customer case handling management plan service operation
RqCR Request manual intervention with the plan,CustomerCaseManagementPlan,Customer Case Management,Role for Request manual intervention with the plan service operation
ReCR Retrieve details about the customer case handling management plan,CustomerCaseManagementPlan,Customer Case Management,Role for Retrieve details about the customer case handling management plan service operation
UpBQ Update details of the case resolution criterion,Rules,Customer Case Management,Role for Update details of the case resolution criterion service operation
RqBQ Request manual intervention in the case resolution rules,Rules,Customer Case Management,Role for Request manual intervention in the case resolution rules service operation
ReBQ Retrieve details about the customer case criterion,Rules,Customer Case Management,Role for Retrieve details about the customer case criterion service operation
UpBQ Update performance analysis related information,Performance,Customer Case Management,Role for Update performance analysis related information service operation
RqBQ Request manual intervention in unit performance analysis,Performance,Customer Case Management,Role for Request manual intervention in unit performance analysis service operation
ReBQ Retrieve details about business unit performance assessment activity,Performance,Customer Case Management,Role for Retrieve details about business unit performance assessment activity service operation
Control Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Control Correpondent Bank Relationship Management Plan service operation
Create Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for te Correpondent Bank Relationship Management Plan service operation
Exchange Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Exchange Correpondent Bank Relationship Management Plan service operation
Grant Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Grant Correpondent Bank Relationship Management Plan service operation
Notify Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Notify Correpondent Bank Relationship Management Plan service operation
Request Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Request Correpondent Bank Relationship Management Plan service operation
Retrieve Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Retrieve Correpondent Bank Relationship Management Plan service operation
Update Correpondent Bank Relationship Management Plan,CorrepondentBankRelationshipManagementPlan,Correspondent Bank Relationship Management,Role for Update Correpondent Bank Relationship Management Plan service operation
Exchange Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Exchange Incident Troubleshooting Oversight Duty service operation
Exchange Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Exchange Relationship Development Duty service operation
Exchange Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Exchange Relationship Reciprocity Assessment Duty service operation
Grant Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Grant Incident Troubleshooting Oversight Duty service operation
Grant Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Grant Relationship Development Duty service operation
Grant Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Grant Relationship Reciprocity Assessment Duty service operation
Notify Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Notify Incident Troubleshooting Oversight Duty service operation
Notify Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Notify Relationship Development Duty service operation
Notify Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Notify Relationship Reciprocity Assessment Duty service operation
Request Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Request Incident Troubleshooting Oversight Duty service operation
Request Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Request Relationship Development Duty service operation
Request Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Request Relationship Reciprocity Assessment Duty service operation
Retrieve Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Retrieve Incident Troubleshooting Oversight Duty service operation
Retrieve Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Retrieve Relationship Development Duty service operation
Retrieve Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Retrieve Relationship Reciprocity Assessment Duty service operation
Update Incident Troubleshooting Oversight Duty,IncidentTroubleshootingOversight,Correspondent Bank Relationship Management,Role for Update Incident Troubleshooting Oversight Duty service operation
Update Relationship Development Duty,RelationshipDevelopment,Correspondent Bank Relationship Management,Role for Update Relationship Development Duty service operation
Update Relationship Reciprocity Assessment Duty,RelationshipReciprocityAssessment,Correspondent Bank Relationship Management,Role for Update Relationship Reciprocity Assessment Duty service operation
InCR Initiate the financial gateway service session,FinancialGatewayOperatingSession,Financial Gateway,Role for Initiate the financial gateway service session service operation
UpCR Update the gateway service details,FinancialGatewayOperatingSession,Financial Gateway,Role for Update the gateway service details service operation
RqCR Report an issue with the production service,FinancialGatewayOperatingSession,Financial Gateway,Role for Report an issue with the production service service operation
ReCR Retrieve details and statistics relating to a session,FinancialGatewayOperatingSession,Financial Gateway,Role for Retrieve details and statistics relating to a session service operation
InBQ Initiate inbound financial message handling,Inbound,Financial Gateway,Role for Initiate inbound financial message handling service operation
ReBQ Retrieve details about an inbound financial message,Inbound,Financial Gateway,Role for Retrieve details about an inbound financial message service operation
InBQ Initiate outbound financial message handling,Outbound,Financial Gateway,Role for Initiate outbound financial message handling service operation
ReBQ Retrieve details about an outbound financial message,Outbound,Financial Gateway,Role for Retrieve details about an outbound financial message service operation
InCR Initiate delinquent account processing,DelinquentAccountProcedure,Delinquent Account Handling,Role for Initiate delinquent account processing service operation
UpCR Update details of delinquent account processing,DelinquentAccountProcedure,Delinquent Account Handling,Role for Update details of delinquent account processing service operation
ReCR Retrieve details about a delinquent account procedure,DelinquentAccountProcedure,Delinquent Account Handling,Role for Retrieve details about a delinquent account procedure service operation
ReBQ Retrieve details about a delinquent account assessment,Assessment,Delinquent Account Handling,Role for Retrieve details about a delinquent account assessment service operation
InBQ Initiate contact with the customer for a delinquent account,Contact,Delinquent Account Handling,Role for Initiate contact with the customer for a delinquent account service operation
RqBQ Request contact processing for an active delinquent account procedure,Contact,Delinquent Account Handling,Role for Request contact processing for an active delinquent account procedure service operation
ReBQ Retrieve details about a contact,Contact,Delinquent Account Handling,Role for Retrieve details about a contact service operation
InBQ Initiate payment processing against the delinquent account,Payment,Delinquent Account Handling,Role for Initiate payment processing against the delinquent account service operation
UpBQ Update a payment transaction,Payment,Delinquent Account Handling,Role for Update a payment transaction service operation
ReBQ Retrieve details about a payment made against the delinquent account,Payment,Delinquent Account Handling,Role for Retrieve details about a payment made against the delinquent account service operation
UpBQ Update a resolution plan,Resolution,Delinquent Account Handling,Role for Update a resolution plan service operation
ReBQ Retrieve details about a delinquent account recovery plan,Resolution,Delinquent Account Handling,Role for Retrieve details about a delinquent account recovery plan service operation
Control Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Control Account Reconciliation Procedure service operation
Exchange Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Exchange Account Reconciliation Procedure service operation
Execute Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Execute Account Reconciliation Procedure service operation
Initiate Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Initiate Account Reconciliation Procedure service operation
Notify Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Notify Account Reconciliation Procedure service operation
Request Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Request Account Reconciliation Procedure service operation
Retrieve Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Retrieve Account Reconciliation Procedure service operation
Update Account Reconciliation Procedure,AccountReconciliationProcedure,Account Reconciliation,Role for Update Account Reconciliation Procedure service operation
Exchange Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Exchange Account Assessment Workstep service operation
Exchange Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Exchange Account Resolution Workstep service operation
Execute Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Execute Account Assessment Workstep service operation
Execute Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Execute Account Resolution Workstep service operation
Initiate Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Initiate Account Assessment Workstep service operation
Initiate Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Initiate Account Resolution Workstep service operation
Notify Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Notify Account Assessment Workstep service operation
Notify Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Notify Account Resolution Workstep service operation
Request Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Request Account Assessment Workstep service operation
Request Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Request Account Resolution Workstep service operation
Retrieve Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Retrieve Account Assessment Workstep service operation
Retrieve Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Retrieve Account Resolution Workstep service operation
Update Account Assessment Workstep,AccountAssessment,Account Reconciliation,Role for Update Account Assessment Workstep service operation
Update Account Resolution Workstep,AccountResolution,Account Reconciliation,Role for Update Account Resolution Workstep service operation
EvCR Start a compliance evaluation assessment,RegulatoryComplianceAssessment,Regulatory Compliance,Role for Start a compliance evaluation assessment service operation
UpCR Update submitted details or content for an on-going compliance assessment,RegulatoryComplianceAssessment,Regulatory Compliance,Role for Update submitted details or content for an on-going compliance assessment service operation
RqCR Request a review or adjudication for an assessment,RegulatoryComplianceAssessment,Regulatory Compliance,Role for Request a review or adjudication for an assessment service operation
ReCR Retrieve details and content from an active compliance assessment,RegulatoryComplianceAssessment,Regulatory Compliance,Role for Retrieve details and content from an active compliance assessment service operation
Control Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Control Private Placement Facility service operation
Exchange Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Exchange Private Placement Facility service operation
Execute Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Execute Private Placement Facility service operation
Initiate Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Initiate Private Placement Facility service operation
Notify Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Notify Private Placement Facility service operation
Request Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Request Private Placement Facility service operation
Retrieve Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Retrieve Private Placement Facility service operation
Update Private Placement Facility,PrivatePlacementFacility,Private Placement,Role for Update Private Placement Facility service operation
Exchange Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Exchange Private Placement Fulfillment service operation
Exchange Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Exchange Private Placement Instrument Maintenance Fulfillment service operation
Exchange Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Exchange Private Placement Instrument Specification Fulfillment service operation
Execute Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Execute Private Placement Fulfillment service operation
Execute Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Execute Private Placement Instrument Maintenance Fulfillment service operation
Execute Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Execute Private Placement Instrument Specification Fulfillment service operation
Initiate Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Initiate Private Placement Fulfillment service operation
Initiate Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Initiate Private Placement Instrument Maintenance Fulfillment service operation
Initiate Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Initiate Private Placement Instrument Specification Fulfillment service operation
Notify Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Notify Private Placement Fulfillment service operation
Notify Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Notify Private Placement Instrument Maintenance Fulfillment service operation
Notify Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Notify Private Placement Instrument Specification Fulfillment service operation
Request Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Request Private Placement Fulfillment service operation
Request Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Request Private Placement Instrument Maintenance Fulfillment service operation
Request Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Request Private Placement Instrument Specification Fulfillment service operation
Retrieve Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Retrieve Private Placement Fulfillment service operation
Retrieve Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Retrieve Private Placement Instrument Maintenance Fulfillment service operation
Retrieve Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Retrieve Private Placement Instrument Specification Fulfillment service operation
Update Private Placement Fulfillment,PrivatePlacement,Private Placement,Role for Update Private Placement Fulfillment service operation
Update Private Placement Instrument Maintenance Fulfillment,PrivatePlacementInstrumentMaintenance,Private Placement,Role for Update Private Placement Instrument Maintenance Fulfillment service operation
Update Private Placement Instrument Specification Fulfillment,PrivatePlacementInstrumentSpecification,Private Placement,Role for Update Private Placement Instrument Specification Fulfillment service operation
InCR Initiate a market trade,MarketTradeTransaction,Market Order Execution,Role for Initiate a market trade service operation
UpCR Update details on an active market trade request,MarketTradeTransaction,Market Order Execution,Role for Update details on an active market trade request service operation
RqCR Request manual intervention to an active market trade,MarketTradeTransaction,Market Order Execution,Role for Request manual intervention to an active market trade service operation
ReCR Retrieve details about a market trade,MarketTradeTransaction,Market Order Execution,Role for Retrieve details about a market trade service operation
InBQ Obtain a trading quote for a proposed order,Quote,Market Order Execution,Role for Obtain a trading quote for a proposed order service operation
ReBQ Retrieve details about quotation activity,Quote,Market Order Execution,Role for Retrieve details about quotation activity service operation
InBQ Initiate a market trade,TradeInitiation,Market Order Execution,Role for Initiate a market trade service operation
ReBQ Retrieve details about a market trade,TradeInitiation,Market Order Execution,Role for Retrieve details about a market trade service operation
RqBQ Request manual intervention for position management,Position,Market Order Execution,Role for Request manual intervention for position management service operation
ReBQ Retrieve details about position wholesale trading activity,Position,Market Order Execution,Role for Retrieve details about position wholesale trading activity service operation
Capture Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Capture Credit Card Position Log service operation
Control Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Control Credit Card Position Log service operation
Initiate Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Initiate Credit Card Position Log service operation
Notify Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Notify Credit Card Position Log service operation
Retrieve Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Retrieve Credit Card Position Log service operation
Update Credit Card Position Log,CreditCardPositionLog,Credit Card Position Keeping,Role for Update Credit Card Position Log service operation
Capture Card Transaction Event,CardTransactionEvent,Credit Card Position Keeping,Role for Capture Card Transaction Event service operation
Notify Card Transaction Event,CardTransactionEvent,Credit Card Position Keeping,Role for Notify Card Transaction Event service operation
Retrieve Card Transaction Event,CardTransactionEvent,Credit Card Position Keeping,Role for Retrieve Card Transaction Event service operation
Update Card Transaction Event,CardTransactionEvent,Credit Card Position Keeping,Role for Update Card Transaction Event service operation
CaCR Capture IT System Administrative Plan activity or event related information,ITSystemAdministrativePlan,Systems Administration,Role for Capture IT System Administrative Plan activity or event related information service operation
CoCR Control the processing of IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Control the processing of IT System Administrative Plan service operation
"EcCR Accept, verify, etc. aspects of IT System Administrative Plan processing",ITSystemAdministrativePlan,Systems Administration,"Role for Accept, verify, etc. aspects of IT System Administrative Plan processing service operation"
GrCR Obtain permission to act in relation to IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Obtain permission to act in relation to IT System Administrative Plan service operation
InCR Instantiate a new IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Instantiate a new IT System Administrative Plan service operation
ReCR Retrieve details about any aspect of IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Retrieve details about any aspect of IT System Administrative Plan service operation
RqCR Request manual intervention or a decision with respect to IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Request manual intervention or a decision with respect to IT System Administrative Plan service operation
UpCR Update details relating to IT System Administrative Plan,ITSystemAdministrativePlan,Systems Administration,Role for Update details relating to IT System Administrative Plan service operation
CaBQ Capture Assurance activity or event related information,Assurance,Systems Administration,Role for Capture Assurance activity or event related information service operation
CaBQ Capture Capacity Planning and Resilience activity or event related information,CapacityPlanningandResilience,Systems Administration,Role for Capture Capacity Planning and Resilience activity or event related information service operation
CaBQ Capture Configuration activity or event related information,Configuration,Systems Administration,Role for Capture Configuration activity or event related information service operation
CaBQ Capture Inventory activity or event related information,Inventory,Systems Administration,Role for Capture Inventory activity or event related information service operation
ReBQ Retrieve details about any aspect of Assurance,Assurance,Systems Administration,Role for Retrieve details about any aspect of Assurance service operation
ReBQ Retrieve details about any aspect of Capacity Planning and Resilience,CapacityPlanningandResilience,Systems Administration,Role for Retrieve details about any aspect of Capacity Planning and Resilience service operation
ReBQ Retrieve details about any aspect of Configuration,Configuration,Systems Administration,Role for Retrieve details about any aspect of Configuration service operation
ReBQ Retrieve details about any aspect of Inventory,Inventory,Systems Administration,Role for Retrieve details about any aspect of Inventory service operation
RqBQ Request manual intervention or a decision with respect to Assurance,Assurance,Systems Administration,Role for Request manual intervention or a decision with respect to Assurance service operation
RqBQ Request manual intervention or a decision with respect to Capacity Planning and Resilience,CapacityPlanningandResilience,Systems Administration,Role for Request manual intervention or a decision with respect to Capacity Planning and Resilience service operation
